FID,ponto,id_bem,identificacao_bem,co_iphan,no_logradouro,nu_logradouro,id_natureza,ds_natureza,codigo_iphan,id_classificacao,ds_classificacao,id_tipo_bem,ds_tipo_bem,sg_tipo_bem,sintese_bem,dt_cadastro
tg_bem_classificacao.fid-7766db4e_192a223c909_4dcc,POINT (-43.48865388754379 -20.381878006437837),2672,Capela de Santana,MG3146107BIED00035,(Confirmar Endereço),,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Capela de Santana, localizado(a) no estado de Minas Gerais, cidade(s) de Ouro Preto, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-06-07
tg_bem_classificacao.fid-7766db4e_192a223c909_4def,POINT (-42.05535336111386 -22.85042665541102),2721,"Casa da Flor, sita à Estrada dos Passageiros, 232, Município de São Pedro da Aldeia",RJ3305208BIED00002,(Confirmar Endereço),,2,Bem Imóvel,BI,18,Arquitetura civil,8,Edificação,ED,"Casa da Flor, sita à Estrada dos Passageiros, 232, Município de São Pedro da Aldeia, localizado(a) no estado de Rio de Janeiro, cidade(s) de São Pedro da Aldeia, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-06-13
tg_bem_classificacao.fid-7766db4e_192a223c909_4df0,POINT (-44.3157591 -23.005734700000005),81,"Fazenda, Ilhota Morcego e casa",RJ3300100BIED00003,Enseada Abraão,,2,Bem Imóvel,BI,17,Edificação,8,Edificação,ED,"Trata-se de construção datada de 1629, localizada à beira mar. Supõe-se ser a mais antiga construção do gênero existente no país. Possui planta quadrada, telhado em quatro águas e varandas localizadas nas fachadas principal e posterior, possuindo dois esteios de madeira de permeio. O conjunto possui uma capela, com inscrição marcando a data da construção.",2015-01-23
tg_bem_classificacao.fid-7766db4e_192a223c909_4df1,POINT (-44.3202222 -23.00682219999999),79,Convento de São Bernardino de Sena: ruínas e Capela dos Terceiros,RJ3300100BICU00001,De Santo Antônio,S/N,2,Bem Imóvel,BI,17,Edificação,7,Conjunto Urbano,CU,"Convento de São Bernardino de Sena: ruínas e Capela dos Terceiros, localizado(a) no estado de Rio de Janeiro, cidade(s) de Angra dos Reis, é um Bem Imóvel, do tipo Conjunto Urbano, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-23
tg_bem_classificacao.fid-7766db4e_192a223c909_4df3,POINT (-44.3150639 -23.0069694),80,Convento e Igreja de Nossa Senhora do Carmo,RJ3300100BIED00002,Do Carmo,,2,Bem Imóvel,BI,17,Edificação,8,Edificação,ED,"Convento e Igreja de Nossa Senhora do Carmo, localizado(a) no estado de Rio de Janeiro, cidade(s) de Angra dos Reis, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-23
tg_bem_classificacao.fid-7766db4e_192a223c909_4df4,POINT (-43.417251 -19.95989199999997),1152,Igreja Matriz de Santo Antônio,MG3157203BIED00001,Industrial,,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Igreja Matriz de Santo Antônio, localizado(a) no estado de Minas Gerais, cidade(s) de Santa Bárbara, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-12
tg_bem_classificacao.fid-7766db4e_192a223c909_4dfd,POINT (-43.51436353150194 -20.382667488900033),1118,Chafariz da Rua Alvarenga,MG3146107BMAR00006,Alvarenga,s/nº,1,Bem Móvel ou Integrado,BM,9999,Sem classificação,2,Artefato,AR,"Chafariz do Alto das Cabeças, também conhecido(a) como Chafariz das Cabeças, localizado(a) no estado de Minas Gerais, cidade(s) de Ouro Preto, é um Bem Móvel ou Integrado, do tipo Artefato, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-12
tg_bem_classificacao.fid-7766db4e_192a223c909_4e28,POINT (-38.520603776 -12.982523055700007),157,Solar do Unhão e Capela Nossa Senhora da Conceição,BA2927408BICA00001,do Contorno,S/N,2,Bem Imóvel,BI,66,Conjunto arquitetônico,6,Conjunto Arquitetônico,CA,"Possui três pavimentos, sendo o último construído no séc. XIX. O acesso se dá através de ponte de 4 arcos com barras de azulejos portugueses. A capela de N. Sra. da Conceição tem a particularidade de possuir nave e capela-mor da mesma largura e altura. Fachada em rococó tardio, com fonte, aqueduto, chafariz em arenito com carranca e conchas superpostas. É adaptado, em 1962, para abrigar o Museu de Arte Popular da Bahia, segundo projeto de Lina Bo Bardi. Fonte: Arquivo Noronha Santos/IPHAN.",2015-01-28
tg_bem_classificacao.fid-7766db4e_192a223c909_4e2d,POINT (-38.51241073883471 -12.974148344962792),249,"Salvador, BA: conjunto arquitetônico, urbanístico e paisagístico (parte) – Praça  Severino Vieira",BA2927408BICU00005,Municipal,S/N,2,Bem Imóvel,BI,34,Conjunto urbano,7,Conjunto Urbano,CU,"""Salvador, BA: conjunto arquitetônico, urbanístico e paisagístico (parte) – Praça  Severino Vieira, localizado(a) no estado de Bahia, cidade(s) de Salvador, é um Bem Imóvel, do tipo Conjunto Urbano, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4e43,POINT (-44.31839000000001 -23.01008109999998),84,Igreja de Nossa Senhora da Lapa da Boa Morte,RJ3300100BIED00005,Dr. Bastos,S/N,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Constituída por nave e capela-mor, que são ladeadas, à direita, por uma sacristia coberta pelo prolongamento da água do telhado da igreja e, à esquerda, por uma sineira com acesso por escada coberta, paralela à lateral da mesma igreja. Na frontaria principal, sobre a cimalha, um frontão vazado ao centro, com volutas, encima a porta da igreja, enquadrada em arenito com verga arqueada e coroada por sobreverga de massa.",2015-01-23
tg_bem_classificacao.fid-7766db4e_192a223c909_4e4e,POINT (-38.5021448 -12.975131500000005),236,Solar do Barão do Rio Real,BA2927408BIED00047,Dr. Colombo Spínola,,2,Bem Imóvel,BI,17,Edificação,8,Edificação,ED,"Construída em paredes de alvenaria de tijolo, contendo dois pavimentos, mais mirante e pequeno porão. Planta típica de residências urbanas mais ricas do séc. XVIII. No térreo, saguão central ladeado por dois salões. Nos andares, corredor central para onde se abrem quartos e alcovas. O pavimento nobre apresenta forros com frisos dourados e portas internas com guarnições lavradas. Sua fachada é simétrica e, no séc. XIX, a casa sofre modificações, quando foi criada a galeria envidraçada do fundo.",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4e50,POINT (-38.3791306 -12.953275000000007),246,Conjunto arquitetônico e paisagístico incluído nos trechos da avenida Otávio Mangabeira,BA2927408BICU00002,Otávio Mangabeira,S/N,2,Bem Imóvel,BI,34,Conjunto urbano,7,Conjunto Urbano,CU,"Conjunto arquitetônico e paisagístico incluído nos trechos da avenida Otávio Mangabeira, localizado(a) no estado de Bahia, cidade(s) de Salvador, é um Bem Imóvel, do tipo Conjunto Urbano, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4e5e,POINT (-43.425791410773485 -19.034602776453806),840,Chafariz da Praça Dom Joaquim,MG3117504BMAR00002,Daniel de Carvalho,,1,Bem Móvel ou Integrado,BM,9999,Sem classificação,2,Artefato,AR,"Chafariz da Praça Dom Joaquim, também conhecido(a) como Praça Dom Joaquim: conjunto arquitetônico e paisagístico, localizado(a) no estado de Minas Gerais, cidade(s) de Conceição do Mato Dentro, é um Bem Móvel ou Integrado, do tipo Artefato, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-11
tg_bem_classificacao.fid-7766db4e_192a223c909_4e60,POINT (-38.51105 -12.973383299999993),253,Conjunto arquitetônico e paisagístico incluído no perímetro dos Subdistritos da Sé e do Passo,BA2927408BICU00009,Sé,S/N,2,Bem Imóvel,BI,17,Edificação,7,Conjunto Urbano,CU,"Conjunto arquitetônico e paisagístico incluído no perímetro dos Subdistritos da Sé e do Passo, localizado(a) no estado de Bahia, cidade(s) de Salvador, é um Bem Imóvel, do tipo Conjunto Urbano, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4e61,POINT (-38.5081100464 -12.926035710899981),260,Casa Marback,BA2927408BIED00061,Baixa do Bonfim,236,2,Bem Imóvel,BI,17,Edificação,8,Edificação,ED,"Possui corpo central com três pavimentos, ladeado por galerias envidraçadas, com dois pavimentos. A planta apresenta circulação periférica e acesso ao pavimento nobre através de larga escada externa. Na sua fachada, além da dinâmica de sua volumetria, destacam-se as galerias laterais, com arcadas envidraçadas e as cercaduras em estilo D. Maria I, que emolduram as janelas de peitoril do primeiro pavimento e as janelas rasgadas com balcão corrido, do segundo pavimento.",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4e68,POINT (-42.01400000000001 -22.877183300000002),1009,"Sítio da antiga fazenda de Santo Inácio de Campos Novos, situado no Distrito de Tamoios",RJ3300704BICA00002,Tiradentes,,2,Bem Imóvel,BI,67,Arquitetura civil,6,Conjunto Arquitetônico,CA,"Sítio da antiga fazenda de Santo Inácio de Campos Novos, situado no Distrito de Tamoios, localizado(a) no estado de Rio de Janeiro, cidade(s) de Cabo Frio, é um Bem Imóvel, do tipo Conjunto Arquitetônico, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-12
tg_bem_classificacao.fid-7766db4e_192a223c909_4e70,POINT (-38.51236782349197 -12.974143117492936),277,Conjunto arquitetônico e paisagístico incluído no perímetro dos Subdistritos dos Mares e da Penha,BA2927408BICU00011,da Sé,S/N,2,Bem Imóvel,BI,34,Conjunto urbano,7,Conjunto Urbano,CU,"Conjunto arquitetônico e paisagístico incluído no perímetro dos Subdistritos dos Mares e da Penha, localizado(a) no estado de Bahia, cidade(s) de Salvador, é um Bem Imóvel, do tipo Conjunto Urbano, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4e75,POINT (-43.153176 -22.940707999999997),374,Morro Cara de Cão,RJ3304557PSPS00008,Cara de Cão,,5,Bem Paisagístico,PS,280,Sem classificação,10,Paisagem,PS,"Os Morros do Pão de Açúcar, Urca, Cara de Cão e Babilônia formam o esporão sul da barra da Baía de Guanabara, sendo um dos mais característicos e marcantes elementos da paisagem carioca. Fazem parte da Serra da Tijuca ou Carioca, dela separado por vales e pela enseada de Botafogo. O conjunto forma volumes isolados, o morro Cara de Cão separado do conjunto Pão de Açúcar e Urca pela restinga onde foi assentada a primitiva Cidade de São Sebastião do Rio de Janeiro.",2015-01-30
tg_bem_classificacao.fid-7766db4e_192a223c909_4e8b,POINT (-43.67314539 -22.87486391000001),352,Ponte dos Jesuítas sobre o Rio Guandu,RJ3304557BIOE00001,do Curtume,,2,Bem Imóvel,BI,25,Obras de engenharia,5,Obras de Engenharia,OE,"Ponte-comporta em cantaria, edificada pelos jesuítas, em 1752, em suas terras de Santa Cruz, com o fim de regularizar o curso do Rio Guandu, desviando parte de suas águas por um canal artificial, para o Rio Itaguaí. No centro de um dos lados do guarda-corpo, existe uma cartela de feição barroca.",2015-01-30
tg_bem_classificacao.fid-7766db4e_192a223c909_4e8c,POINT (-43.6708667 -19.898447199999996),838,Igreja de Nossa Senhora do Rosário,MG3110004BIED00004,Dr. João Pinheiro,15,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Igreja de Nossa Senhora do Rosário, também conhecido(a) como Igreja de Nossa Senhora do Rosário, localizado(a) no estado de Minas Gerais, cidade(s) de Caeté, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-11
tg_bem_classificacao.fid-7766db4e_192a223c909_4e94,POINT (-43.18068998999999 -22.905255760000006),388,Igreja de São Francisco de Paula,RJ3304557BIED00028,de São Francisco,,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Possui elementos de caráter clássico associado ao frontão curvilíneo típico da arquitetura barroca. O plano da Igreja é composto por nave única, capela-mor profunda, corredores laterais, com altares colados às ilhargas, sacristia, consistório e capela para o noviciado. A extensa sacristia nos fundos da edificação é notável pelo arcaz, pelo chafariz de mármore, pelo mobiliário e demais obras de arte. O interior da Igreja abriga trabalhos de talha do Mestre Valentim.",2015-01-30
tg_bem_classificacao.fid-7766db4e_192a223c909_4e9f,POINT (-43.50367962244262 -20.38441741013334),839,Palácio dos Governadores,MG3146107BIED00020,Tiradentes,20,2,Bem Imóvel,BI,17,Edificação,8,Edificação,ED,"Casa à Praça Tiradentes, também conhecido(a) como Palácio dos Governadores, localizado(a) no estado de Minas Gerais, cidade(s) de Ouro Preto, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-11
tg_bem_classificacao.fid-7766db4e_192a223c909_4ea1,POINT (-43.163591 -22.951028000000004),372,Morro da Urca,RJ3304557PSPS00006,da Urca,,5,Bem Paisagístico,PS,280,Sem classificação,10,Paisagem,PS,"Os Morros do Pão de Açúcar, Urca, Cara de Cão e Babilônia formam o esporão sul da barra da Baía de Guanabara, sendo um dos mais característicos e marcantes elementos da paisagem carioca. Fazem parte da Serra da Tijuca ou Carioca, dela separado por vales e pela enseada de Botafogo. O conjunto forma volumes isolados, o morro Cara de Cão separado do conjunto Pão de Açúcar e Urca pela restinga onde foi assentada a primitiva Cidade de São Sebastião do Rio de Janeiro.",2015-01-30
tg_bem_classificacao.fid-7766db4e_192a223c909_4ea4,POINT (-38.70998382569999 -12.547803567799999),412,Paço Municipal de Santo Amaro,BA2928604BIED00001,Viana Bandeira,,2,Bem Imóvel,BI,19,Arquitetura oficial,8,Edificação,ED,"A planta distribui-se em dois pavimentos, que se desenvolvem a partir de um pequeno pátio retangular. Sua fachada principal é dividida por pilastras em três vãos, tendo no corpo central torre sineira recoberta por uma meia laranja. Cada um dos corpos laterais possui galeria de arcos plenos ao nível do térreo e três janelas de púlpito no andar superior. O interior está conservado, merecendo destaque os arranques da escadaria principal e os alizares entalhados de algumas portas internas.",2015-01-30
tg_bem_classificacao.fid-7766db4e_192a223c909_4ea8,POINT (-50.1402528 -15.933669399999998),779,"Conjunto arquitetônico e urbanístico da Rua João Pessoa, antiga da Fundição",GO5208905BICU00001,da Bandeira,,2,Bem Imóvel,BI,219,Sem classificação,7,Conjunto Urbano,CU,"Conjunto arquitetônico e urbanístico da Rua João Pessoa, antiga da Fundição, também conhecido(a) como Rua João Pessoa, localizado(a) no estado de Goiás, cidade(s) de Goiás, é um Bem Imóvel, do tipo Conjunto Urbano, com estado de conservação Regular e de preservação Pouco Alterado. O todo compõe um harmonioso conjunto de arquiteturas ao mesmo tempo diferentes pelo estilo das fachadas, e homogêneas em razão do tamanho e das proporções do casario. A malha urbana, acima de tudo regular, adapta-se às surpresas do relevo, o que confere à cada rua um aspecto particular e oferece, à cada cruzamento, vistas surpreendentes. Em Goiás, as três principais praças, que recebem a designação de largo, existem desde o início do aglomerado. Apresentam-se com uma base em forma de triângulo e são circundadas por uma massa de edifícios residenciais, em sua grande maioria, térreos, dando suporte à volumetria de um edifício que merece ser destacado. O primeiro e mais antigo desses é o Largo do Rosário, em alusão à igreja de mesmo nome pertencente à Irmandade dos Pretos. O Largo da Matriz, também conhecido como Largo do Palácio, é onde os primeiros exploradores erigiram a pequena capela dedicada à Sant'Anna. O mais amplo espaço público da cidade é, no entanto, o Largo da Cadeia, mais conhecido como Largo do Chafariz. Suas dimensões tornam mais evidente a declividade do terreno e disfarçam sua forma triangular.  A Fonte da Cambaúba, atual Fonte da Carioca atendia basicamente aos moradores da margem direita do rio Vermelho, conhecida nos documentos antigos como Rosário, construída em alvenaria de pedra, se encontra em um amplo espaço aberto entre o rio Vermelho e a antiga entrada da cidade para os que vinham de São Paulo pelo caminho real, passando por Meia Ponte, Ouro Fino e Ferreiro, com destino à Cuiabá. Esse local bastante procurado pelos banhistas é conhecido como Poço do Bispo, por estar próximo a uma chácara de propriedade da Diocese de Goiás. Com a sua estrutura praticamente enterrada no solo, esse chafariz possuía, originalmente, um dos lados abertos ligados diretamente ao rio. Entretanto, em decorrência dos alagamentos provocados pelos períodos chuvosos, essa ligação foi desfeita com a construção de uma quarta parede, também em alvenaria de pedra como as demais. O acesso às bicas é feito através de uma escada frontal, também de pedra. Devido à escassez de registros e documentos, grande parte das informações sobre essa fonte é marcada por lendas, comuns nas versões orais da história. Atualmente, a fonte está cercada por um complexo de lazer, implantado pela Prefeitura Municipal, que engloba o rio, como local de banho, um restaurante, um parque de diversões para crianças e seu próprio entorno imediato que recebeu tratamento especial de ajardinamento.",2015-06-11
tg_bem_classificacao.fid-7766db4e_192a223c909_4eb9,POINT (-38.9623473383183 -12.6051532410062),303,"Casa à Rua Benjamin Constant, 1",BA2904902BIED00010,Benjamin Constant,1,2,Bem Imóvel,BI,18,Arquitetura civil,8,Edificação,ED,"Este sobrado oitocentista conta com três pavimentos no alinhamento do térreo, sendo o primeiro andar destinado ao comércio e os demais, à habitação. Sua fachada apresenta portas de vergas retas, no térreo; no segundo pavimento,
janelas com parapeito de balaústas vedadas nas extremidades e rasgadas com balcão no centro e, no terceiro pavimento, janelas de peitoril. Fonte: Arquivo Noronha Santos - Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN).",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4ebd,POINT (-34.88381 -7.118640000000006),871,Igreja da Misericórdia,PB2507507BIED00011,Duque de Caxias,SN,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Igreja da Misericórdia, localizado(a) no estado de Paraíba, cidade(s) de João Pessoa, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-12
tg_bem_classificacao.fid-7766db4e_192a223c909_4ec3,POINT (-38.873410799999995 -12.743207500000008),10,Igreja e ruínas do antigo Convento de Santo Antônio do Paraguassú,BA2904902BICA00001,"São Francisco do Iguape, às margens do Rio Paraguassú, distrito de Iguape",,2,Bem Imóvel,BI,66,Conjunto arquitetônico,6,Conjunto Arquitetônico,CA,"Elevada em relação ao rio Paraguassú, a igreja está recuada, mas uma das alas do convento se estende até o lagamar. A igreja, construída em pedra e cal, é envolvida por corredores superpostos e tribunas. O frontispício é do tipo escalonado, construído sobre galilé em abóbadas de aresta, e modulado por uma trama de pilastras e cornijas. A torre, recuada, possui terminação em cúpula. O interior possuía barras de azulejos, piso formado por sepulturas com tampa de madeira, forro em gamela e abóboda.",2015-01-13
tg_bem_classificacao.fid-7766db4e_192a223c909_4ec7,POINT (-43.183908 -22.937584),359,Palácio Guanabara,RJ3304557BIED00014,Pinheiro Machado,,2,Bem Imóvel,BI,17,Edificação,8,Edificação,ED,"Palácio Guanabara, localizado(a) no estado de Rio de Janeiro, cidade(s) de Rio de Janeiro, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-30
tg_bem_classificacao.fid-7766db4e_192a223c909_4ecf,POINT (-38.96311670000001 -12.603627799999991),769,Jardim do Hospital São João de Deus,BA2904902PSJD00001,Ana Neri,27,5,Bem Paisagístico,PS,281,Sem classificação,9,Jardim Histórico,JD,"Do tipo francês, ainda que tardio, apresenta canteiros de desenho geométrico e gradil com colunas coroadas por vasos, pinhas, cachorros e leões de louça. O centro do jardim é marcado por uma fonte de mármore com três golfinhos. Fonte: Arquivo Noronha Santos - Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN).",2015-06-11
tg_bem_classificacao.fid-7766db4e_192a223c909_4ed6,POINT (-38.96241171133557 -12.605006657598016),302,"Casa à Rua Benjamin Constant, 2",BA2904902BIED00009,Benjamin Constant,2,2,Bem Imóvel,BI,18,Arquitetura civil,8,Edificação,ED,"Esta casa data, pelas suas características tipológicas, do início do século XIX. Sua planta tem forma quadrada com três faixas de uso: salões na frente, alcovas no meio e jantar no fundo, esquema frequente no Sertão e Chapada Diamantina. Devido à declividade do sítio, sob o térreo existem dois outros pisos, funcionando no primeiro deles o anexo de serviços.Fonte: Arquivo Noronha Santos - Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN).",2015-01-29
tg_bem_classificacao.fid-7766db4e_192a223c909_4ed9,POINT (-34.90352975611198 -8.058389165951127),1745,"Praça Euclides da Cunha, projeto de Burle Marx",PE2611606PSJD00003,Euclides da Cunha,,5,Bem Paisagístico,PS,281,Sem classificação,9,Jardim Histórico,JD,"Praça Euclides da Cunha, projeto de Burle Marx, também conhecido(a) como Praça Euclides da Cunha, localizado(a) no estado de Pernambuco, cidade(s) de Recife, é um Bem Paisagístico, do tipo Jardim Histórico, com estado de conservação Regular e de preservação Pouco Alterado.",2016-01-21
tg_bem_classificacao.fid-7766db4e_192a223c909_4ee5,POINT (-43.17354158 -22.908644759999998),4866,Prédio do MEC,RJ3304557BICA00018,da Imprensa,16,2,Bem Imóvel,BI,67,Arquitetura civil,6,Conjunto Arquitetônico,CA,"Prédio do MEC, também conhecido(a) como Palácio Gustavo Capanema, localizado(a) no estado de Rio de Janeiro, cidade(s) de Rio de Janeiro, é um Bem Imóvel, do tipo Conjunto Arquitetônico, com estado de conservação Ruim e de preservação Pouco Alterado.",2018-12-05
tg_bem_classificacao.fid-7766db4e_192a223c909_4ee7,POINT (-43.5071361 -20.3875583),1140,Igreja Matriz de São Bartolomeu,MG3146107BIED00031,Barão do Rio Branco,12,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Igreja Matriz de São Bartolomeu, também conhecido(a) como Igreja de São Bartolomeu, localizado(a) no estado de Minas Gerais, cidade(s) de Ouro Preto, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-12
