Nome atribuído,Estágio da Instrução (Portaria 11/86),CÓDIGO IPHAN
Igreja de Nossa Senhora das Mercês e Perdões,TOMBADO,MG3146107BIED00005
Passo da Ponte Seca,TOMBADO,MG3146107BIED00017
Passo de Antônio Dias,TOMBADO,MG3146107BIED00019
Igreja de Nossa Senhora do Rosário ,TOMBADO,MG3146107BIED00007
Capela de São José,TOMBADO,MG3146107BIED00001
Capela de Nossa Senhora das Dores,TOMBADO,MG3146107BIED00022
Igreja Nossa Senhora das Mercês e Misericórdia,TOMBADO,MG3146107BIED00016
Igreja Matriz de Nossa Senhora da Conceição de Antônio Dias ,TOMBADO,MG3146107BIED00013
Solar del Rei,TOMBADO,RJ3304557BIED00007
Col. arqueol. Balbino de Freitas: conchais do litoral sul,TOMBADO,RJ3304557BMCL00002
Col. arqueol. do Museu da Escola Normal Justiniano de Serpa,TOMBADO,CE2304400BMCL00001
Igreja e Mosteiro de Monte Serrat,TOMBADO,BA2927408BIED00049
Mosteiro e Igreja da Graça,TOMBADO,BA2927408BIED00050
Mosteiro e Igreja de São Bento,TOMBADO,BA2927408BIED00048
Santa Casa da Misericórdia da Bahia e Igreja,TOMBADO,BA2927408BIED00032
Casa Pia e Colégio dos Órfãos de São Joaquim,TOMBADO,BA2927408BIED00036
Igreja e Casa da Ordem Terceira do Carmo,TOMBADO,BA2927408BIED00051
Igreja e Casa da Ordem Terceira de São Domingos,TOMBADO,BA2927408BIED00056
Catedral Basílica de Salvador,TOMBADO,BA2927408BIED00001
Fazenda do Engenho d' Água: casa (em Jacarepaguá),TOMBADO,RJ3304557BIED00059
Convento e Igreja de São Francisco,TOMBADO,BA2927408BIED00058
Marco da Fundação da Cidade do Rio de Janeiro,TOMBADO,RJ3304557BMAR00004
Lápide tumular de Estácio de Sá,TOMBADO,RJ3304557BMAR00006
Igreja da Ordem Terceira de São Francisco,TOMBADO,BA2927408BIED00017
 Igreja de São Miguel,TOMBADO,BA2927408BIED00060
Convento e Igreja de Nossa Senhora do Carmo,TOMBADO,BA2927408BIED00039
Fortim de Caetano Madeira,TOMBADO,RJ3304557BICA00007
Solar Grandjean de Montigny e jardim,TOMBADO,RJ3304557BICA00001
Casa natal de Bento Gonçalves,TOMBADO,RS4322004BIED00001
Igreja de Nossa Senhora das Dores,TOMBADO,RS4314902BIED00002
Igreja de Nossa Senhora da Conceição de Viamão,TOMBADO,RS4323002BIED00001
Casa de Garibaldi,TOMBADO,RS4314605BIED00001
Palácio Farroupilha,TOMBADO,RS4314605BIED00002
Chafariz das Saracuras,TOMBADO,RJ3304557BMAR00013
Quinta da Boa Vista,TOMBADO,RJ3304557BICA00002
Casa natal do Barão do Rio Branco,TOMBADO,SEM CADASTRO SICG?
Arco do Teles ,TOMBADO,RJ3304557BIOE00004
Morros da Cidade do Rio de Janeiro,TOMBADO,RJ3304557PSPS00013
Jardim e Morro do Valongo: conjunto arquitetônico e paisagístico,TOMBADO,RJ3304557BICA00013
"Passeio Público: chafariz dos Jacarés, obeliscos e portão do Mestre Valentim",TOMBADO,RJ3304557PSJD00006
Praias de Paquetá,TOMBADO,RJ3304557PSPS00012
Marco da Fazenda Real de Santa Cruz,TOMBADO,RJ3304557BMAR00005
Arcos da Lapa  ou Aqueduto da Carioca,TOMBADO,RJ3304557BIOE00005
Ponte dos Jesuítas sobre o Rio Gandu,TOMBADO,RJ3304557BIOE00001
Forte Orange,TOMBADO,PE2607604BIED00001
Colégio dos Jesuítas,TOMBADO,PE2607604BIED00001 
Forte das Cinco Pontas ,TOMBADO,PE2611606BIED00009
Forte do Brum,TOMBADO, PE2611606BIED00035
"Museu Nacional, inclusive a Coleção Arqueológica Balbino de Freitas",TOMBADO,RJ3304557BMCL00002
"Edifício da antiga Alfândega e antiga Praça do Comércio, atual sede da Fundação Casa FrançaBrasil",TOMBADO,RJ3304557BIED00097
Fortaleza de São João: portão,TOMBADO,RJ3304557BMAR00025
Casa de Rui Barbosa ,TOMBADO,RJ3304557BIED00069
Aqueduto da Colônia de Psicopatas ,TOMBADO,RJ3304557BIOE00003
Bebedouro da Estrada Velha da Tijuca,TOMBADO,RJ3304557BMAR00018
Palácio Guanabara,TOMBADO,RJ3304557BIED00014
"Rerratificação (2015): ""Fortaleza de Santo Antônio de Ratones e suas defesas anexas, incluindo a ilha de Ratones Grande, onde se situa, e seu material de artilharia, assim como a ilha de Ratones Pequeno"" (Livros do Tombo Histórico e Arqueológico, Etnográfico e Paisagístico); ""Fortaleza de Santo Antônio, em Ratones"" (Livro do Tombo das Belas Artes)",TOMBADO,SC4205407BIED00006
Igreja da Misericórdia,TOMBADO,PB2507507BIED00011
Casa construída com material missioneiro,TOMBADO,RS4306932BIED00001
Igreja Matriz de Santo Antônio,TOMBADO,PE2611606BIED00024
Casa de Câmara e Cadeia,TOMBADO,PR4113205BIED00002
Casa à Rua Francisco Cunha,TOMBADO,PR4113205BIED00001
Capela de Nossa Senhora das Batalhas ,TOMBADO,PB2513703BIED00002
Capela de Nossa Senhora do Socorro,TOMBADO,PB2513703BIED00003
Igreja de Nossa Senhora do Carmo,TOMBADO,MG3146107BIED00006
Igreja de São Francisco de Assis,TOMBADO,MG3146107BIED00009
Palácio da Associação Comercial da Bahia,TOMBADO,BA2927408BIED00062
Palácio do Saldanha,TOMBADO,BA2927408BIED00055
"Casa à rua Carlos Gomes, 57",TOMBADO,BA2927408BIED00013
Casa Marback,TOMBADO,BA2927408BIED00061
"Sobrado à Praça Anchieta, 18 (Casa Natal de Gregório de Matos)",TOMBADO,BA2927408BIED00059
Solar do Barão do Rio Real,TOMBADO,BA2927408BIED00047
Solar do Berquó,TOMBADO,BA2927408BIED00063
Solar Ferrão,TOMBADO,BA2927408BIED00016
Solar do Conde dos Arcos,TOMBADO,BA2927408BIED00072
Igreja do Seminário de Belém,TOMBADO,BA2904902BIED00023
Capela da Ajuda,TOMBADO,BA2927408BIED00072
Seminário de São Dâmaso,TOMBADO,BA2927408BIED00071
Igreja do Rosário dos Pretos ,TOMBADO,BA2927408BIED00064
Oratório público da Cruz do Pascoal,TOMBADO,BA2927408BMAR00003
Igreja de Santo Antônio da Barra,TOMBADO,BA2927408BIED00066
Convento e Igreja de Santa Teresa,TOMBADO,BA2927408BIED00019
Igreja do Senhor do Bonfim,TOMBADO,BA2927408BIED00052
Igreja e Hospício da Boa Viagem,TOMBADO,BA2927408BIED00057
Igreja Matriz de Nossa Senhora da Conceição da Praia,TOMBADO,BA2927408BIED00041
Inscrições tumulares da Igreja da Vitória,TOMBADO,BA2927408BMAR00004
Palácio Arquiepiscopal ,TOMBADO,BA2927408BIED00026
Capela do Corpo Santo,TOMBADO,BA2927408BIED00008
Igreja da Palma ,TOMBADO,BA2927408BIED00080
Igreja da Rua do Passo  Santíssimo Sacramento,TOMBADO,BA2927408BIED00054
Igreja de Santo Antônio da Mouraria,TOMBADO,BA2927408BIED00038
Igreja do Pilar,TOMBADO,BA2927408BIED00035
Igreja de São Pedro dos Clérigos e Pátio de São Pedro: conjunto arquitetônico,TOMBADO,PE2611606BIED00013
Igreja da Misericórdia,TOMBADO,BA2927408BIED00020
Casa dos Sete Candeeiros,TOMBADO,PE2609600BIED00008
Igreja da Ordem Terceira do Carmo,TOMBADO,PE2611606BIED00036
Casa de Castro Alves,TOMBADO,BA2927408BIED00021
Fonte do Tambiá,TOMBADO,PB2507507BIED00010
Casa da Torre de Garcia d'Ávila e Capela de Nossa Senhora da Conceição,TOMBADO,BA2921005BIED00001
Marco divisório da Capitania de Itamaracá,TOMBADO,PE2611606BMAR00001
Palácio da Soledade,TOMBADO,PE2611606BIED00017
Convento e Igreja de Santo Antônio,TOMBADO,PE2606804BICA00001
Igreja de Nossa Senhora da Graça e Seminário de Olinda ,TOMBADO,PE2609600BIED00009
Palácio Episcopal,TOMBADO,PE2609600BIED00014
Capela de Nossa Senhora da Conceição da Jaqueira,TOMBADO,PE2611606BIED00033
Igreja da Madre de Deus,TOMBADO,PE2611606BIED00032
Col. arqueol. e etnográfica do Museu Paraense Emílio Goeldi,TOMBADO,PA1501402BMCL00001
Museu do Estado de Pernambuco: acervo,TOMBADO,PE2611606BIED00016
Igreja de São Gonçalo,TOMBADO,PE2611606BIED00011
"Coleções arqueológicas, etnográficas, artísticas e históricas do Museu Paulista da Universidade de São Paulo",TOMBADO,SP3550308BACL00001
"Museu Paranaense: coleção etnográfica, arqueológica, histórica e artística",TOMBADO,PR4106902BIED00002
Forte de Caçapava,TOMBADO,RS4302808BIED00001 
"Col. arqueol., etnográfica, histórica e artística do Museu Júlio de Castilhos",TOMBADO,RS4314902BACL00001
Povo de São Miguel: remanescentes e ruínas da Igreja de São Miguel,TOMBADO,RS4319158BICA00001
Igreja da Misericórdia,TOMBADO,PE2609600BIED00008
 Igreja de Santa Teresa,TOMBADO,PE2609600BIED00011
"Convento e Igreja de São Francisco: capela, casa de oração e claustro dos Terceiros Franciscanos",TOMBADO,PE2609600BIED00006
Convento e Igreja de Santo Antônio,TOMBADO,PE2611606BIED00007
Convento de Santo Antônio,TOMBADO,PE2614204BIED00001
Capela de Santo Antônio  Engenho Novo ,TOMBADO,PE2606200BIED00001
Igreja da Ordem Terceira do Carmo,TOMBADO,PE2606200BIED00003
Igreja de Nossa Senhora da Conceição,TOMBADO,PE2606200BIED00004
Igreja de Nossa Senhora da Misericórdia,TOMBADO,PE2606200BIED00005
Igreja de Nossa Senhora do Amparo,TOMBADO,PE2606200BIED00006
Igreja de Nossa Senhora do Rosário dos Pretos,TOMBADO,PE2606200BIED00007
Igreja Matriz de Nossa Senhora do Rosário,TOMBADO,PE2606200BIED00008
Convento e Igreja de Nossa Senhora da Soledade,TOMBADO,PE2606200BIED00002
Convento do Carmo,TOMBADO,PE2609600BIED00005
Convento do Carmo,TOMBADO,PE2611606BIED00008
Igreja de Nossa Senhora da Boa Vista,TOMBADO,PE2611606BIED00037
"Casa do General Osório  Rua Riachuelo, 303",TOMBADO,RJ3304557BIED00073
Igreja de Nossa Senhora do Desterro  Igreja da Pedra de Guaratiba ,TOMBADO,RJ3304557BIED00035
"Palácio do Catete, parque e Rua do Catete: conjunto arquitetônico",TOMBADO,RJ3304557BICA00003
Bica da Rainha,TOMBADO,RJ3304557BMAR00019
Chafariz à Rua do Riachuelo,TOMBADO,RJ3304557BMAR00011
Chafariz da Glória ,TOMBADO,RJ3304557BMAR00012
Chafariz de Grandjean de Montigny,TOMBADO,RJ3304557BMAR00016
Chafariz de Paulo Fernandes,TOMBADO,RJ3304557BMAR00017
Chafariz do Mestre Valentim,TOMBADO,RJ3304557BMAR00015
Chafariz do Lagarto,TOMBADO,RJ3304557BIED00074
Fortaleza de Santa Catarina,TOMBADO,PB2503209BIED00002
Fortaleza do Morro de São Paulo,TOMBADO,BA2905404BIED00002
Fortaleza de Santana ,TOMBADO,SC4205407BIED00005
Fortaleza de São José da Ponta Grossa,TOMBADO,SC4205407BIED00007
Fortaleza de Santa Cruz de Anhatomirim,TOMBADO,SC4206009BIED00001
Forte de São Lourenço,TOMBADO,BA2916104BIED00002
Forte do Paraguassú,TOMBADO,BA2920601BIED00003
Forte de Gragoatá,TOMBADO,RJ3303302BIED00003
Fortaleza de Nossa Senhora dos Prazeres,TOMBADO,PR4118204BIED00002
Forte do Pau Amarelo,TOMBADO,PE2610707BIED00001
Fortaleza da Conceição,TOMBADO,RJ3304557BICA00008
Palácio Episcopal,TOMBADO,RJ3304557BIED00015
Forte da Gambôa,TOMBADO,BA2927408BIED00074
Forte de Santa Maria,TOMBADO,BA2927408BIED00075
Forte de Santo Antônio da Barra,TOMBADO,BA2927408BIED00084
Forte de São Marcelo,TOMBADO,BA2927408BIED00077
Casa da Moeda: prédio,TOMBADO,RJ3304557BIED00064
Jardim Botânico (Especificadamente o Portão da Antiga Fábrica de Pólvora e o Pórtico Da Antiga Academia Imperial de Belas Artes;,RERRATIFIC.,RJ3304557PSJD00005
Palácio Itamaraty,RERRATIFIC.,RJ3304557BIED00013
Paço Imperial,TOMBADO,RJ3304557BIED00018
Igreja Matriz de Nossa Senhora do Pilar,TOMBADO,RJ3301702BIED00001
Palácio dos Príncipes de Joinville ou Palácio do Domínio Dona Francisca,TOMBADO,SC4209102BIED00002
"Igreja Matriz de S. Francisco Xavier, inclusive o outeiro onde está situado e o antigo marco jesuítico localizado no sopé",TOMBADO,RJ3303302BIED00006
Capela e Cemitério de Maruí,TOMBADO,RJ3303302BICA00001
Igreja de São Lourenço dos Índios,TOMBADO,RJ3303302BIED00001
Ilha da Boa Viagem: conjunto arquitetônico e paisagístico,TOMBADO,RJ3303302BICA00002
Casa à Avenida Frederico Pontes,TOMBADO,BA2927408BIED00010
"Palácio Imperial de Petrópolis, parque e Quartel dos Semanários",TOMBADO,RJ3303906BICA00001
"Casa na Rua Borba Gato, 7",TOMBADO,MG3156700BIED00003
Igreja Matriz de Santo Antônio,TOMBADO,MG3157203BIED00001
Igreja de Nossa Senhora do Monte,TOMBADO,PE2609600BIED00010
Igreja de São Francisco de Assis,TOMBADO,MG3162500BIED00006
Igreja Nossa Senhora do Carmo,TOMBADO,MG3162500BIED00004
Convento e Igreja de Santo Alberto de Sicília e cruzeiro,TOMBADO,PE2606200BICA00001
Capela de Nossa Senhora do Rosário do Engenho do Visconde,TOMBADO,RJ3301009BIED00002
Solar do Visconde,TOMBADO,RJ3301009BIED00003
Solar e Capela do Engenho do Colégio e capela,TOMBADO,RJ3301009BICA00001
Solar de Santo Antônio,TOMBADO,RJ3301009BIED00001
Solar dos Airizes,TOMBADO,RJ3301009BIED00004
Igreja jesuítica e residência anexa de São Pedro d'Aldeia,TOMBADO,RJ3305208BIED00001
Igreja de Nossa Senhora do Rosário e residência anexa,TOMBADO,SP3515004BICA00001
Igreja de São Miguel Paulista,TOMBADO,SP3515004BICA00001
Igreja da Ordem terceira do Carmo,TOMBADO,BA2904902BICA00005
Igreja da Ordem terceira do Carmo (BEM FILHO),Tombado (bem filho),BA2904902BIED00018
Igreja da Ordem terceira do Carmo (BEM FILHO),Tombado (bem filho),BA2904902BIED00021
Convento e Igreja de Nossa Senhora do Carmo,TOMBADO,BA2904902BICA00006
Igreja de São Benedito especificamente as respectivas portas,TOMBADO,PI2211001BIED00001
Cemitério do Batalhão,TOMBADO,PI2202208PSJD00001
Sobrado Nepomuceno,TOMBADO,PI2207009BIED00002
Ponte Grande,TOMBADO,PI2207009BIOE00001
Igreja de Santa Rita,TOMBADO,MG3170107BIED00002
Igreja Matriz de Nossa Senhora da Candelária,TOMBADO,SP3523909BIED00002
Barraca de Euclides da Cunha,TOMBADO,SP3549706BIED00001
Coleções do Museu Mariano Procópio,TOMBADO,MG3136702BMCL00001
"Casa com muxarabi à Praça João Alfredo (antigo Pátio de São Pedro), 7 ",TOMBADO,PE2609600BIED00002
"Casa com muxarabi à Rua do Amparo, 28",TOMBADO,PE2609600BIED00003
"Palácio da Princesa Isabel  Avenida Koeller, nº 42",TOMBADO,RJ3303906BIED00001
Igreja de Santa Luzia,TOMBADO,ES3205309BIED00002
Casa do Padre Correia,TOMBADO,RJ3303906BIED00003
Capela da Ajuda ,TOMBADO,BA2904902BIED00028
 Igreja Matriz de Nossa Senhora do Rosário,TOMBADO,BA2904902BIED00024
Paço Municipal,TOMBADO,BA2904902BIED00003
Chafariz da Praça Dr. Mílton,TOMBADO,BA2904902BIOE00001
"Jarras de louça, 02 / Fábrica de Santo Antônio do Porto; /Jarras de louça, 03 / Fábrica de Santo Antônio do Porto;",TOMBADO,BA2904902BMAC00001
"Casa à Praça Dr. Aristides Milton,  23A",TOMBADO,BA2904902BIED00012
Casa natal de Teixeira de Freitas,TOMBADO,BA2904902BIED00029
Hospital São João de Deus: jardim,TOMBADO,BA2904902PSJD00001
"Sobrado à Rua Ana Nery, 1",TOMBADO,BA2904902BIED00008
"Sobrado à Praça da Aclamação, 4",TOMBADO,BA2904902BIED00015
"Casa natal de Ana Nery, Rua Ana Nery, 7",TOMBADO,BA2904902BIED00017
Fortaleza de Santa Cruz,TOMBADO,RJ3303302BIED00008
Capela de São José da Quinta das Laranjeiras,TOMBADO,MA2111300BIED00008
Portão da Quinta das Laranjeiras,TOMBADO,MA2111300BMAR00002
Sambaqui do Pindai,TOMBADO,MA2111300BAST00002
Fazenda do Colubandê: casa e Capela de Santana,TOMBADO,RJ3304904BICA00001
Sítio de Santo Antônio: casa e capela,TOMBADO,SP3550605BICA00001
Igreja Matriz de Santana,TOMBADO,SP3522109BIED00002
Convento e Igreja Franciscanos de Nossa Senhora da Conceição ,TOMBADO,SP3522109BIED00001
Convento e Igreja de Nossa Senhora do Carmo (BEM FILHO),Tombado (bem filho),BA2904902BIED00004
Convento e Igreja de Nossa Senhora do Carmo (BEM FILHO),Tombado (bem filho),BA2904902BIED00022
Igreja da Ordem Terceira de Nossa Senhora do Monte do Carmo,TOMBADO,SP3548500BIED00005
"Aldeia de Carapicuíba, SP: conjunto arquitetônico e urbanístico",TOMBADO,SP3510609BICU00001
Fortaleza de São Tiago,TOMBADO,SP3506359BIED00001
Casa do Trem,TOMBADO,SP3548500BIED00003
Igreja da Ordem Terceira de Nossa Senhora do Monte do Carmo,TOMBADO,MG3121605BIED00010
Capela de São João Batista,TOMBADO,SP3510609BIED00001
Igreja de Nossa Senhora da Escada e residência,TOMBADO,SP3518305BICA00001
"Capela de Nossa Senhora da Conceição, em Voturuna",TOMBADO,SP3547304BIED00002
Igreja Matriz de Nossa Senhora das Vitórias,TOMBADO,PI2207009BIED00001
Igreja Matriz de Nossa Senhora do Carmo,TOMBADO,PI2208304BIED00001
"Casa à Avenida Sete de Setembro, 59: elementos decorativos",TOMBADO,BA2927408BIED00012
Igreja Matriz de São Bartolomeu,TOMBADO,BA2927408BIED00012
Casa e Chácara do Barão de Monjardim,TOMBADO,ES3205309BICA00001
Igreja Nossa Senhora da Assunção e residência,TOMBADO,ES3200409BIED00001
Igreja dos Reis Magos e residência,TOMBADO,ES3205002BIED00001
Capela de Nossa Senhora da Pena e ruínas do sobrado anexo,TOMBADO,BA2904902BIED00002
Convento e Igreja de Nossa Senhora da Penha,TOMBADO,ES3205200BIED00002
Igreja da Sé,TOMBADO,PA1501402BIED00005
Igreja de Santo Alexandre e antigo Colégio dos Jesuítas,TOMBADO,PA1501402BICA00006
"Igreja de Nossa Senhora do Carmo, inclusive o Convento e a Capela da Ordem Terceira",TOMBADO,PA1501402BIED00002
Igreja de São João Batista,TOMBADO,PA1501402BIED00009
Cidade de Congonhas do Campo,TOMBADO,MG3118007BICU00002
Coleção de armas e apetrechos militares do Museu de Armas General Osório,TOMBADO,RS4321600BMCL00001
Igreja Matriz de Nossa Senhora do Rosário,TOMBADO,GO5217302BIED00001
Igreja de Santo Amaro,TOMBADO,MG3157203BIED00002
"Casa à Rua Benjamin Constant, 1",TOMBADO,BA2904902BIED00010
"Casa à Rua Benjamin Constant, 17",TOMBADO,BA2904902BIED00013
"Sobrado à Rua Ana Nery, 2",TOMBADO,BA2904902BIED00016
"Casa à Rua Ana Nery, 4",TOMBADO,BA2904902BIED00007
"Sobrado à Rua Ana Nery, 25",TOMBADO,BA2904902BIED00014
